Student_ID,Student_Name,Department,Semester,Month,Month_Order,Total_Classes,Attended_Classes,Attendance_Pct,Semester_GPA
DYP2024CS101,Aarav Sharma,Computer Science,Sem 1,Aug,1,28,17,60.7,6.83
DYP2024CS101,Aarav Sharma,Computer Science,Sem 1,Sep,2,27,15,55.6,5.51
DYP2024CS101,Aarav Sharma,Computer Science,Sem 1,Oct,3,25,17,68.0,5.97
DYP2024CS101,Aarav Sharma,Computer Science,Sem 1,Nov,4,24,15,62.5,5.59
DYP2024CS101,Aarav Sharma,Computer Science,Sem 2,Aug,5,23,14,60.9,5.15
DYP2024CS101,Aarav Sharma,Computer Science,Sem 2,Sep,6,27,18,66.7,7.13
DYP2024CS101,Aarav Sharma,Computer Science,Sem 2,Oct,7,25,14,56.0,4.67
DYP2024CS101,Aarav Sharma,Computer Science,Sem 2,Nov,8,27,17,63.0,6.63
DYP2024CS101,Aarav Sharma,Computer Science,Sem 3,Aug,9,24,18,75.0,6.81
DYP2024CS101,Aarav Sharma,Computer Science,Sem 3,Sep,10,28,21,75.0,7.09
DYP2024CS101,Aarav Sharma,Computer Science,Sem 3,Oct,11,27,18,66.7,7.15
DYP2024CS101,Aarav Sharma,Computer Science,Sem 3,Nov,12,27,16,59.3,6.07
DYP2024CS101,Aarav Sharma,Computer Science,Sem 4,Aug,13,22,14,63.6,6.28
DYP2024CS101,Aarav Sharma,Computer Science,Sem 4,Sep,14,24,16,66.7,6.82
DYP2024CS101,Aarav Sharma,Computer Science,Sem 4,Oct,15,28,19,67.9,6.75
DYP2024CS101,Aarav Sharma,Computer Science,Sem 4,Nov,16,25,14,56.0,5.78
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 1,Aug,1,23,16,69.6,6.92
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 1,Sep,2,22,16,72.7,7.84
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 1,Oct,3,23,17,73.9,7.73
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 1,Nov,4,22,16,72.7,7.51
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 2,Aug,5,28,21,75.0,7.99
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 2,Sep,6,27,21,77.8,8.14
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 2,Oct,7,27,21,77.8,7.59
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 2,Nov,8,24,19,79.2,8.08
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 3,Aug,9,28,21,75.0,7.82
